Primary_Language,GitHub_URL,Version
c#,https://github.com/NLog/NLog,946ee2f095c4f9ef96fbc5eeacbedd10beb97038
c#,https://github.com/OpenRA/OpenRA,0997f5b52f0781af8abb1287147bde178c11e9c6
c#,https://github.com/moxiecode/plupload,e8b7cc3535cb25f7148366ee8987c72ce127daed
c#,https://github.com/Redth/PushSharp,25f0d3da86db9e86f57fafe38245abc9ab658689
c#,https://github.com/quartznet/quartznet,0f171ed4ef01333e7353c5a4230586018bd25765
c#,https://github.com/reactiveui/ReactiveUI,3f725c808b1d4c8457f0d3204e0a071aa462cd75
c#,https://github.com/restsharp/RestSharp,0ef81fd0a96149d8e1b73c0b2eeb6a7398681ae9
c#,https://github.com/scriptcs/scriptcs,d8525d6bc1814573972bfa6a0b6392f2e02ddc60
c#,https://github.com/ServiceStack/ServiceStack,010df0912a8fe9b748a9eda7199e07fdc5ac9aab
c#,https://github.com/SignalR/SignalR,3a219c101587333d562f04f30903d50ad9773e1c
c#,https://github.com/markrendle/Simple.Data,65ff01e482ce71190869001c221caa140feb70e5
c#,https://github.com/hbons/SparkleShare,e496d2d6d919ac9a378933c5d21446d0a3a3ea4f
c#,https://github.com/jaredpar/VsVim,4bad892018b9854ae329b61968ed7099f669175c
c#,https://github.com/madskristensen/WebEssentials2013,f2e5d2051a21bb7f959c9e3dcc23f60838e464a8
c++,https://github.com/appjs/appjs,003a0d9615e34855460761139554218ba2c2942d
c++,https://github.com/atom/atom-shell,c9b53a6e8bb430170bb2a5b31b84305f451e9a88
c++,https://github.com/kentonv/capnproto,3adcf4a143f69bede481cf6de89cafa7c628bd47
c++,https://github.com/cocos2d/cocos2d-x,617f5265f1b0691b279d0c34036a9274faf98231
c++,https://github.com/Swordfish90/cool-retro-term,7255a162e9cf561c0665aefac8f02bfbebf1b925
c++,https://github.com/fish-shell/fish-shell,46fbfaaa83d4cf93ea44c8faf0f3f44c593f95e4
c++,https://github.com/facebook/folly,8281c7faafe4b6ad2b92436e133d21eb0c219ab4
c++,https://github.com/farbrausch/fr_public,aec0000b34fb04a44bd88b5ecdde46620fb66b80
c++,https://github.com/Grive/grive,27817e835fe115ebbda5410ec904aa49a2ad01f1
c++,https://github.com/facebook/hhvm,b1857ee5a86670eafed86778b0f00e993012ad48
c++,https://github.com/facebook/hiphop-php,ff48f8913c8c4d802e1c4855873f15dd515ab8ce
c++,https://github.com/google/liquidfun,0708ce1464b0db3cf34353258ce939a82f28a173
c++,https://github.com/mongodb/mongo,d1a3701d754a9ee3d28a5cdfa9132d62c88a1eb6
c++,https://github.com/keithw/mosh,0de4082e86ac1193eb83805d5ea1d749f3f2bee7
c++,https://github.com/pagespeed/ngx_pagespeed,2cd08a702266ad06936b69324b3ca46bb0f7f94a
c++,https://github.com/LearnBoost/node-canvas,1568a31f1c7df169ef53f00b3ee61d7672e58776
c++,https://github.com/rogerwang/node-webkit,53661e5aac56c74bbc3119e0226a4d20a39c9e2a
c++,https://github.com/ncb000gt/node.bcrypt.js,ebd1d5e89d381d5f7c774663c216567b4568596c
c++,https://github.com/SFTtech/openage,e9e7b53e416e0abb48a69fbb8817a113d7ed1dad
c++,https://github.com/Itseez/opencv,dfec99691b51ab4cb6451061c3d5cce382f76a9c
c++,https://github.com/cisco/openh264,cda6a1fa7605956fae72757bfd71b96070d2fff3
c++,https://github.com/PixarAnimationStudios/OpenSubdiv,6d8ebd409a3a1834d9ec5dc7e534f1658394081c
c++,https://github.com/facebook/osquery,f7c0d49f6ad11898738ea55c7d8f4bcdf253b6ec
c++,https://github.com/coolwanglu/pdf2htmlEX,c9235e5d5fe3e30fa382302093a5a2d7968d8825
c++,https://github.com/ariya/phantomjs,0ba13ec57c2454926c00293db5146a4b60edd62f
c++,https://github.com/ivansafrin/Polycode,37a40fefe194ec7f6e9d1257f3bb3517b0a168bc
c++,https://github.com/facebook/proxygen,fe1070ff19b447430c346100d45330adecb7e8c0
c++,https://github.com/dropbox/pyston,209350e622201aae455adc035dbf2a1867daec47
c++,https://github.com/rethinkdb/rethinkdb,99aa54a634d1500232e84c303304ff4033373b8d
c++,https://github.com/paralect/robomongo,97c1cf55c8fde280c69f94565f1108f1bf15f6a7
c++,https://github.com/facebook/rocksdb,c97667d9f11519519dd26ba8240a6054b1d200a3
c++,https://github.com/textmate/textmate,9490ff8967ec1a7de8625d3f8e698b76ca370a02
c++,https://github.com/breach/thrust,59656cca28c8180297aade6cf49a18dc42e9f660
c++,https://github.com/bjorn/tiled,99ce6b86b58cbfaa39866590821a255e6d4cdbed
c++,https://github.com/GarageGames/Torque3D,000649e8402daec9be334ae45088e8a936007c15
c++,https://github.com/TrinityCore/TrinityCore,bd16520ecc91d827abae7f0447cc292fe9e843e9
c++,https://github.com/v8/v8,68128834943d4d2d727922a949fc5dfcc3d6a1dd
c++,https://github.com/JohnLangford/vowpal_wabbit,c116eefe6f11efdeedc45162dbf5990e46a46232
c++,https://github.com/webscalesql/webscalesql-5.6,30d93217019b0c595b6016d173cd1612edce8db9
c++,https://github.com/Valloric/YouCompleteMe,f20c69321d5152662f86f8903af258e22a64823d
c++,https://github.com/jkozera/zeal,617e4ddd3a095ef0974fc3389fedaccf0a593ca4
clojure,https://github.com/4clojure/4clojure,60c63539ce9c1e6c4c06e1243e8348279775ba21
clojure,https://github.com/ztellman/aleph,5fa02b9437151891adf4ff692bd61dd96476352c
clojure,https://github.com/nathanmarz/cascalog,ba49f30947bebd4ec92e29e92985f91fd071c75a
clojure,https://github.com/dakrone/cheshire,dccdc7a5dc51798ce0bdbc4a0987f86ed530d4e2
clojure,https://github.com/dakrone/clj-http,8e9bd17942067a62b21d12f47dfb240f6a727aaa
clojure,https://github.com/clojure-cookbook/clojure-cookbook,18ae8f7258991c227783f2ee3cc873ae5a86549d
clojure,https://github.com/functional-koans/clojure-koans,44f37b5c16a627851d652be3716c72d38b1a3bd0
clojure,https://github.com/takeoutweight/clojure-scheme,caa040bb1ea5d93bbea9a4963d5e9a42099956e0
clojure,https://github.com/schani/clojurec,4cd0b72c066f0492a82fe46939264f4a11f65321
clojure,https://github.com/clojure/clojurescript,6ae18ebb583994177a3e38805647be2a16d2b86b
clojure,https://github.com/weavejester/compojure,7bd602d5ff28b6421993d32bee2c26da0460e0a2
clojure,https://github.com/clojure/core.async,5008e841c5fa69460a6f7d76c56eb48980b4e6da
clojure,https://github.com/clojure/core.logic,1c4020f63a5b792f08a90434ab6e8be6aa467a82
clojure,https://github.com/clojure/core.typed,fe7ae4a816924d51983d54c477dd922f5f207625
clojure,https://github.com/tonsky/datascript,8df5be2153eca1c93f22e564c54cd58107a48dba
clojure,https://github.com/hraberg/deuce,6c6e4add9cf3c8a815fe52da893ce76514b958f7
clojure,https://github.com/Prismatic/dommy,3b3b50162fffcc1650b4cc8266e31370ce714a90
clojure,https://github.com/cgrand/enlive,be075b124eb8c4e00b271e21ad63b3a8de6ecb87
clojure,https://github.com/liebke/incanter,8c6342f845ec00c1e5d982962701e824464b6a30
clojure,https://github.com/Engelberg/instaparse,0a2f7f72a5f768bae581a4529f502b62f5686be3
clojure,https://github.com/korma/Korma,996f056ec73d27d80d76a4acffcac2970d23cebe
clojure,https://github.com/ztellman/lamina,07c3fb84fdb3f4a4892c0bdbe3abf28788bdeb29
clojure,https://github.com/emezeske/lein-cljsbuild,31fce3f2bd4bc89119855b41cc319d83f74f3eeb
clojure,https://github.com/technomancy/leiningen,4d91b32123487a4338854a4f0e1f6e1186cc170e
clojure,https://github.com/clojure-liberator/liberator,a7162e1f49ebaa6b577a838f955a6796aab87926
clojure,https://github.com/LightTable/LightTable,93b26db836e33d8aa0409f039b9d861a6123443d
clojure,https://github.com/marick/Midje,412bb90878bfc01daf7ede161e566158bce8513a
clojure,https://github.com/liquidz/misaki,b8104e632058e3b3da4487513d10e666e5914ec9
clojure,https://github.com/magomimmo/modern-cljs,4489ff08c09bbdd6401ac88e3ca5b9add15f47ea
clojure,https://github.com/swannodette/om,90b720258487168b3628c2821ad03ba96dc350e8
clojure,https://github.com/overtone/overtone,8b8353b27c755004dc0733857bcfee9ce15c6b73
clojure,https://github.com/pallet/pallet,882b3c688ed385c24becf3709785cfb099d8d82d
clojure,https://github.com/pedestal/pedestal,9b6ecd66423c2f81869cf6e42f82f467364fb6e7
clojure,https://github.com/oakes/play-clj,6e285b5e312357bc4f9c1245888aa646e5170f14
clojure,https://github.com/quil/quil,4aacc0c2c51e438baa3eba1b710d8a4d6200b43a
clojure,https://github.com/aphyr/riemann,4a095955ab71fb4849c15284c024506ebb9a8778
clojure,https://github.com/ring-clojure/ring,5eb93b63f1676cac26121a92c50a39e14e38edac
clojure,https://github.com/Prismatic/schema,e3920e365f0fc5e99c0d86b3fac261ba945639fd
clojure,https://github.com/daveray/seesaw,a1e2b48c4716e1ed11ef424fb24e0e53d36782ed
clojure,https://github.com/ptaoussanis/sente,fcf62c2b628be12edef2717dab4ed1c692e3bd0f
coffeescript,https://github.com/atom/atom,75f7d729736e4ba5ce5f114fbef662f23bf1d120
coffeescript,https://github.com/Shopify/batman,56b72876f17e096bfd6d026a33189f2bd35f1621
coffeescript,https://github.com/ContinuumIO/bokeh,59ceb045750daadcbfa768179bc9d1b71453de1c
coffeescript,https://github.com/makeusabrew/bootbox,b2671b39f33d0194474060928331742fcf75f776
coffeescript,https://github.com/brunch/brunch,a44f9b4f42574c004002638b296a86773adecc3c
coffeescript,https://github.com/harvesthq/chosen,88168524029e2d2786dfd4aa4515a201c3d4f941
coffeescript,https://github.com/codecombat/codecombat,da92e15bfb00fcd41b5c200763608cd4722b9de1
coffeescript,https://github.com/jashkenas/coffee-script,87a854afb412d6517e17ff334d1d638696724dad
coffeescript,https://github.com/michaelficarra/CoffeeScriptRedux,4f71af22a2a130608b3840338750caeaae8ffd82
coffeescript,https://github.com/codeparty/derby,9487fc84321e5af1c72a5693fe212c172ca99675
coffeescript,https://github.com/jashkenas/docco,d0dd3cfb422ce7391f981c59e3803a38b04f4062
coffeescript,https://github.com/dropbox/dropbox-js,4840da9435d7d1c134e4bddc5c0324cbea600782
coffeescript,https://github.com/enyo/dropzone,2e0c0070b00a5ea5aa172c28017fdf4c18ee26b0
coffeescript,https://github.com/fastly/epoch,e5fabf0708cf795d44f777543343452f54ae11c1
coffeescript,https://github.com/lefnire/habitrpg,5754b4f72a4fe2f8a8445e27e8ae8d358ddbcebb
coffeescript,https://github.com/bergie/hallo,70501a2a26d5eb31844b9790eb0ba3869606dda3
coffeescript,https://github.com/github/hubot-scripts,fc269a50a2e45c386f747765bb5b3c6ab33b024f
coffeescript,https://github.com/github/hubot,e8a420eef7048fddd75a26fdf7e4957ef392e24b
coffeescript,https://github.com/karma-runner/karma,ef6f05c60ad4b0dab214d029ec60ecfeb72c00c3
coffeescript,https://github.com/oesmith/morris.js,75cdb5bd9713bda681ccee5f40a7c857c78bc039
coffeescript,https://github.com/noflo/noflo,819ee780f181c2f88bd61929499f6630be5213c7
coffeescript,https://github.com/dmotz/oriDomi,7486bf4c25e655ed3cb5334bc68bb3f16c52c331
coffeescript,https://github.com/37signals/pow,163f546854b833bd8bb097cf9bad5be8420da727
coffeescript,https://github.com/quilljs/quill,6801c4ce4e4a546628e1aaef2592504d3b0b732a
coffeescript,https://github.com/soyjavi/QuoJS,5a81258327109c9b3627c44e202049de4f2df16e
coffeescript,https://github.com/airbnb/rendr,82294328c310198a9f336194aff22a68eac127a0
coffeescript,https://github.com/viatropos/tower,694f4b4465def0f07a2119b2dad626dbe2becc2f
coffeescript,https://github.com/rails/turbolinks,703f8fd8b870236496c5e03ee079fb1ec757a939
coffeescript,https://github.com/philc/vimium,6331f29edcc05d4a36a8cccb4d3f2c8eecc5dc03
coffeescript,https://github.com/jnordberg/wintersmith,f5099c792e8480c1967adff1865cc05f25018601
coffeescript,https://github.com/assaf/zombie,5a7a8229b640632b435a3836ee12cec010585aa4
erlang,https://github.com/basho/bitcask,fa139ea6e19cf3adf88ea1f7b6fbef8f4581f4fe
erlang,https://github.com/evanmiller/ChicagoBoss,7cc8da968fc11fd8e2f8c04d8935fd0f396c84dc
erlang,https://github.com/apache/couchdb,bd07317af994394a355293590f11763e99246258
erlang,https://github.com/extend/cowboy,27ecd7fca1c9111a09beb42ffe7efea0c317fd45
erlang,https://github.com/discoproject/disco,14e726f1627ad3e7f1767722f36fb966e244185b
